ProductID	UPC	Brand	TypeShort	TypeLong	State	FoodGroup	ServingSize	ServingSizeUnitsImperial	ServingSizeMetric	ServingSizeUnitsMetric	ServingsPerContainer	Calories	CaloriesFromFat	TotalFat_g	SaturatedFat_g	TransFat_g	PolyunsaturatedFat_g	MonosaturatedFat_g	Cholesterol_mg	Sodium_mg	TotalCarbohydrate_g	DietaryFiber_g	Sugars_g	Protein_g	VitaminA_2000	VitaminC_2000	Calcium_2000	Iron_2000	Iodine_2000	Ingredients	Contains
1	7.42365E+11		Milk?		Liquid	Dairy	1	tbsp	15	mL	126	50	50	5	3.5	0	0	0	20	5	0.99	0	0	0	0.04	0	0	0	0	"Organic Grade A Cream, Gellan Gum"	Milk
2	41303015476	Essential Everyday	Sugar	Pure Granualted Sugar	Granular Solid	Sweets	1	tsp	4	g	1134	15	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0		
3	41303019948		Light Corn Syrup		Liquid		2	tbsp	30	mL	16	130	0	0	0	0	0	0	0	30	31	0	13	0	0	0	0	0	0	"Light Corn Syrup, Salt, Vanilla"	
4	96619384969		Butter		Solid		1	tbsp	14	g	32	100	100	11	7	0	0.4	3	30	0	0	0	0	0	0.08	0	0	0	0	"Pasteurized Cream, Natural Flavorings"	Milk
5			Vanilla Extract		Liquid																										
6	24600010030		Salt		Granular Solid		0.25	tsp	1.5	g	491	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0	0	0.45		
7																															
8																															
9																															
10																															
