fProductID	fProductName	fActive	fPrice	fPriceBeg	fPriceEnd
1	Original SB	Y	5.5	2016-01-01	9999-12-31
2	SNS SB	Y	5.5	2016-01-01	9999-12-31
3	Cinnamon SB	Y	5.5	2016-01-01	9999-12-31
4	Cajun Mild SB	Y	5.5	2016-01-01	9999-12-31
5	Cajun Med SB	Y	5.5	2016-01-01	9999-12-31
6	Cajun Hot SB	Y	5.5	2016-01-01	9999-12-31
7	Cajun KA Hot SB	Y	5.5	2016-01-01	9999-12-31
8	Pumpkin SB	Y	5.5	2016-01-01	9999-12-31
9	Irish Crme SB	Y	5.5	2016-01-01	9999-12-31
10	Peppermint SB	Y	5.5	2016-01-01	9999-12-31
11	Zebra SB	Y	5.5	2016-01-01	9999-12-31
12	Cajun Hot 1 Gal Bag	Y	13	2016-01-01	9999-12-31
13	Cajun KA Hot 1 Gal Bag	Y	13	2016-01-01	9999-12-31
14	Cajun Med 1 Gal Bag	Y	13	2016-01-01	9999-12-31
15	Cajun Mild 1 Gal Bag	Y	13	2016-01-01	9999-12-31
16	Cinnamon 1 Gal Bag	Y	13	2016-01-01	9999-12-31
17	Irish Crme 1 Gal Bag	Y	13	2016-01-01	9999-12-31
18	Original 1 Gal Bag	Y	13	2016-01-01	9999-12-31
19	Peppermint 1 Gal Bag	Y	13	2016-01-01	9999-12-31
20	Pumpkin 1 Gal Bag	Y	13	2016-01-01	9999-12-31
21	SNS 1 Gal Bag	Y	13	2016-01-01	9999-12-31
22	Zebra 1 Gal Bag	Y	13	2016-01-01	9999-12-31
23	Cajun Hot 2 Gal Bag	Y	22	2016-01-01	9999-12-31
24	Cajun KA Hot 2 Gal Bag	Y	22	2016-01-01	9999-12-31
25	Cajun Med 2 Gal Bag	Y	22	2016-01-01	9999-12-31
26	Cajun Mild 2 Gal Bag	Y	22	2016-01-01	9999-12-31
27	Cinnamon 2 Gal Bag	Y	22	2016-01-01	9999-12-31
28	Irish Crme 2 Gal Bag	Y	22	2016-01-01	9999-12-31
29	Original 2 Gal Bag	Y	22	2016-01-01	9999-12-31
30	Peppermint 2 Gal Bag	Y	22	2016-01-01	9999-12-31
31	Pumpkin 2 Gal Bag	Y	22	2016-01-01	9999-12-31
32	SNS 2 Gal Bag	Y	22	2016-01-01	9999-12-31
33	Zebra 2 Gal Bag	Y	22	2016-01-01	9999-12-31
34	1 Gal Pail	Y	4	2016-01-01	9999-12-31
35	2 Gal Bucket	Y	5	2016-01-01	9999-12-31
36	Almond Toffee 1/2	Y	9	2016-01-01	9999-12-31
37	Peanut Brittle 1/2	Y	8	2016-01-01	9999-12-31
38	Cashew Brittle 1/2	Y	9	2016-01-01	9999-12-31
39	Pecan Brittle 1/2	Y	9	2016-01-01	9999-12-31
40	Cashew Toffee 1/2	Y	9	2016-01-01	9999-12-31
41	Pecan 1/2	Y	9	2016-01-01	9999-12-31
42	Almond Toffee 1 #	Y	15	2016-01-01	9999-12-31
43	Peanut Brittle 1 #	Y	15	2016-01-01	9999-12-31
44	Cashew Brittle 1 #	Y	15	2016-01-01	9999-12-31
45	Cashew Toffee 1#	Y	15	2016-01-01	9999-12-31
46	Caramel 15 	Y	9	2016-01-01	9999-12-31
47	Pecan 15 	Y	10	2016-01-01	9999-12-31
48	Cashew 15	Y	10	2016-01-01	9999-12-31
49	Aloha 15	Y	11	2016-01-01	9999-12-31
50	Caramel 24 	Y	14	2016-01-01	9999-12-31
51	Pecan 24 	Y	15	2016-01-01	9999-12-31
52	Cashew 24	Y	15	2016-01-01	9999-12-31
53	Aloha 24	Y	16	2016-01-01	9999-12-31
54	Caramel 4	Y	4	2016-01-01	9999-12-31
55	15 Count Mixed	Y		2016-01-01	9999-12-31
56	24 Count Mixed	Y		2016-01-01	9999-12-31
57	Sampler Pak - Caramel	Y		2016-01-01	9999-12-31
58	Sampler Pak - Pecan/Cashew	Y		2016-01-01	9999-12-31
59	Sampler Pak - Aloha	Y		2016-01-01	9999-12-31
60	Original CC	Y	2.5	2016-01-01	9999-12-31
61	Cinnamon CC	Y	2.5	2016-01-01	9999-12-31
62	SNS CC	Y	2.5	2016-01-01	9999-12-31
63	Cajun Mild CC	Y	2.5	2016-01-01	9999-12-31
64	Cajun Med CC	Y	2.5	2016-01-01	9999-12-31
65	Pumpkin CC	Y	2.5	2016-01-01	9999-12-31
66	Irish Crme CC	Y	2.5	2016-01-01	9999-12-31
67	Peppermint CC	Y	2.5	2016-01-01	9999-12-31
68	Zebra SB	Y	2.5	2016-01-01	9999-12-31
69	Almond Toffee 	Y	4	2016-01-01	9999-12-31
70	Peanut Brittle 	Y	3.5	2016-01-01	9999-12-31
71	Cashew Brittle 	Y	4	2016-01-01	9999-12-31
72	Pecan 	Y	4	2016-01-01	9999-12-31
73	Cashew Toffee	Y		2016-01-01	9999-12-31
74	Cajun Hot CC	Y	2.5	2016-01-01	9999-12-31
75	Cajun KA Hot CC	Y	2.5	2016-01-01	9999-12-31
