fProductID	fProductName	fTypeID	fFlavorID	fFlavorID2	fContainerID	regCode	fActive	fProductBeg	fProductEnd
1	Original SB	1	10		10	1	Y	2015-01-01	
2	SNS SB	1	11		10	2	Y	2015-01-01	
3	Cinnamon SB	1	1		10	3	Y	2015-01-01	
4	Cajun Mild SB	1	2		10	4	Y	2015-01-01	
5	Cajun Med SB	1	3		10	5	Y	2015-01-01	
6	Cajun Hot SB	1	4		10	6	Y	2015-01-01	
7	Cajun KA Hot SB	1	5		10	7	Y	2015-01-01	
8	Pumpkin SB	1	6		10	8	Y	2015-01-01	
9	Irish Crème SB	1	7		10	9	Y	2015-01-01	
10	Peppermint SB	1	8		10	10	Y	2015-01-01	
11	Zebra SB	1	9		10	11	Y	2015-01-01	
12	Cajun Hot 1 Gal Bag	1	4		1	14	Y	2015-01-01	
13	Cajun KA Hot 1 Gal Bag	1	5		1	14	Y	2015-01-01	
14	Cajun Med 1 Gal Bag	1	3		1	14	Y	2015-01-01	
15	Cajun Mild 1 Gal Bag	1	2		1	14	Y	2015-01-01	
16	Cinnamon 1 Gal Bag	1	1		1	14	Y	2015-01-01	
17	Irish Crème 1 Gal Bag	1	7		1	14	Y	2015-01-01	
18	Original 1 Gal Bag	1	10		1	14	Y	2015-01-01	
19	Peppermint 1 Gal Bag	1	8		1	14	Y	2015-01-01	
20	Pumpkin 1 Gal Bag	1	6		1	14	Y	2015-01-01	
21	SNS 1 Gal Bag	1	11		1	14	Y	2015-01-01	
22	Zebra 1 Gal Bag	1	9		1	14	Y	2015-01-01	
23	Cajun Hot 2 Gal Bag	1	4		2	15	Y	2015-01-01	
24	Cajun KA Hot 2 Gal Bag	1	5		2	15	Y	2015-01-01	
25	Cajun Med 2 Gal Bag	1	3		2	15	Y	2015-01-01	
26	Cajun Mild 2 Gal Bag	1	2		2	15	Y	2015-01-01	
27	Cinnamon 2 Gal Bag	1	1		2	15	Y	2015-01-01	
28	Irish Crème 2 Gal Bag	1	7		2	15	Y	2015-01-01	
29	Original 2 Gal Bag	1	10		2	15	Y	2015-01-01	
30	Peppermint 2 Gal Bag	1	8		2	15	Y	2015-01-01	
31	Pumpkin 2 Gal Bag	1	6		2	15	Y	2015-01-01	
32	SNS 2 Gal Bag	1	11		2	15	Y	2015-01-01	
33	Zebra 2 Gal Bag	1	9		2	15	Y	2015-01-01	
34	1 Gal Pail	1			3	16	Y	2015-01-01	
35	2 Gal Bucket	1			4	17	Y	2015-01-01	
36	Almond Toffee 1/2	2	12		5	20	Y	2015-01-01	
37	Peanut Brittle 1/2	2	14		5	21	Y	2015-01-01	
38	Cashew Brittle 1/2	2	13		5	22	Y	2015-01-01	
39	Pecan Brittle 1/2	2	15		5	23	Y	2015-01-01	
40	Cashew Toffee 1/2	2	13		5	24	Y	2015-01-01	
41	Pecan 1/2	2	15		5	25	Y	2015-01-01	
42	Almond Toffee 1#	2	12		6	26	Y	2015-01-01	
43	Peanut Brittle 1#	2	14		6	27	Y	2015-01-01	
44	Cashew Brittle 1#	2	13		6	28	Y	2015-01-01	
45	Cashew Toffee 1#	2	13		6	29	Y	2015-01-01	
46	Caramel 15 	3	16		7	30	Y	2015-01-01	
47	Pecan 15 	3	15		7	31	Y	2015-01-01	
48	Cashew 15	3	13		7	32	Y	2015-01-01	
49	Aloha 15	3	17		7	33	Y	2015-01-01	
50	Caramel 24 	3	16		8	34	Y	2015-01-01	
51	Pecan 24 	3	15		8	35	Y	2015-01-01	
52	Cashew 24	3	13		8	36	Y	2015-01-01	
53	Aloha 24	3	17		8	37	Y	2015-01-01	
54	Caramel 4	3	16		9	38	Y	2015-01-01	
55	Caramel 4	3	16		9	38	Y	2015-01-01	
56	15 Count Mixed	3	18		7	39	Y	2015-01-01	
57	24 Count Mixed	3	18		8	40	Y	2015-01-01	
58	Sampler Pak - Caramel	3	16		-99	47	Y	2015-01-01	
59	Sampler Pak - Pecan/Cashew	3	15	13	-99	48	Y	2015-01-01	
60	Sampler Pak - Aloha	3	17		-99	49	Y	2015-01-01	
61	Original CC	4	10		-99	50	Y	2015-01-01	
62	Cinnamon CC	4	1		-99	51	Y	2015-01-01	
63	SNS CC	4	11		-99	52	Y	2015-01-01	
64	Cajun Mild CC	4	2		-99	53	Y	2015-01-01	
65	Cajun Med CC	4	3		-99	54	Y	2015-01-01	
66	Pumpkin CC	4	6		-99	55	Y	2015-01-01	
67	Irish Crème CC	4	7		-99	56	Y	2015-01-01	
68	Peppermint CC	4	8		-99	57	Y	2015-01-01	
69	Zebra CC	4	9		-99	58	Y	2015-01-01	
70	Almond Toffee 	4	12		-99	60	Y	2015-01-01	
71	Peanut Brittle 	4	14		-99	61	Y	2015-01-01	
72	Cashew Brittle 	4	13		-99	62	Y	2015-01-01	
73	Pecan 	4	15		-99	63	Y	2015-01-01	
74	Cashew Toffee	4	13		-99	64	Y	2015-01-01	
75	Cajun Hot CC	4	4		-99	\N	Y	2015-01-01	
76	Cajun KA Hot CC	4	5		-99	\N	Y	2015-01-01	
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
